,features,Random Forest feature importances,XGBoost feature importances,LightGBM feature importances,Gradient Boost feature importances,AverageModel,StackAverageModel
0,terms_freq,0.01443763016004684,0.015860083446027243,0.3511450381679389,0.00325083477824024,0.0961733966380633,0.1484794600353206
1,key_confidence,0.02335811672710407,0.02401591274588605,0.40458015267175573,0.0034189879637981195,0.113843292527136,0.17451300987859295
2,release.name_neu,0.006695691416846768,0.05039216010957735,0.04580152671755725,0.0013887801352793303,0.026069539594815175,0.03293135504257824
3,title_svd_3_10,0.026691349382645668,0.0225583648121869,0.41221374045801523,0.004267250557296006,0.11643267630253594,0.17823801292283295
4,title_compound,0.007903648854054994,0.018755372833572488,0.1450381679389313,0.0018698467574034992,0.04339175909599057,0.06498662530439069
5,tatums_start,0.029345232390670273,0.02858191222431442,0.3511450381679389,0.005755940056297044,0.10370703070980515,0.15626597214507906
6,bars_confidence,0.027646389524750497,0.02770589180949682,0.5114503816793893,0.0034095240753495805,0.14255304677224653,0.2193358212985666
7,artist_freq,1.0,0.9999999999999999,0.7938931297709924,1.0,0.9484732824427481,0.9178187309586185
8,title_neu,0.0062378739969758765,0.04630524628308284,0.17557251908396945,0.007363866643686304,0.05886987650192862,0.08382082252807928
9,country_foreign,0.0022828556907751943,0.0,0.061068702290076333,0.0,0.015837889495212882,0.02503632501991647
10,title_svd_5_10,0.02233275868594815,0.019264904942003124,0.3053435114503817,0.0033435686997465523,0.08757118594451987,0.13344560851607268
11,start_of_fade_out,0.04122866206955313,0.06509145516951781,0.5572519083969465,0.03176704233566565,0.17383476699292078,0.2524614807313057
12,time_signature,0.00742925962763297,0.01929635835526048,0.13740458015267176,0.0007550784047472521,0.041221319135078115,0.06187863955626469
13,familiarity,0.1649130132010157,0.307468173133652,0.549618320610687,0.17640539133141547,0.2996012245691925,0.3544942761032463
14,title_svd_1_10,0.027829031767915985,0.059014359235372654,0.47328244274809156,0.021957878449168248,0.1455209280501371,0.21293490492883005
15,duration,0.0423715760606368,0.06082392047202552,0.3893129770992366,0.03546918069462584,0.1319944135816312,0.18496515223553797
16,release.name_pos,0.005490753108117425,0.036941207726676514,0.061068702290076333,0.0021946187417750244,0.026423820466661325,0.03533829882281382
17,mode,0.0016060252554076983,0.0,0.022900763358778626,0.0,0.006126697153546581,0.00961408870447768
18,time_signature_confidence,0.018036481100142113,0.0,0.37404580152671757,0.0,0.09802057065671492,0.15456628521680374
19,release_svd_9_10,0.022360555165734822,0.03323765672402889,0.3511450381679389,0.0066927129162597495,0.10335899074349059,0.15537650827664798
20,term_svd_2_10,0.015730008988106475,0.07364414231195227,0.2213740458015267,0.005448058244079282,0.07904906383641618,0.11166731854085155
21,title_pos,0.0033348249192548334,0.031934099251284494,0.03816793893129771,0.0014701791900164746,0.018726760572963377,0.024271525153170524
22,title_svd_10_10,0.02918772529082564,0.03041103519438549,0.3282442748091603,0.005845522951344249,0.09842213956142892,0.1475487394705394
23,country_unknown,0.002141553009854968,0.038236785466679385,0.03816793893129771,0.0,0.019636569351958018,0.025412036056106042
24,mode_confidence,0.02673029953750558,0.030744114113966277,0.3969465648854962,0.0033080028089696187,0.11443224533648443,0.17415776177327652
25,artist_lastname,0.02076345463593121,0.023522360082239277,0.4351145038167939,0.0022411098630037165,0.12041035709949204,0.18572475538595062
26,title_svd_6_10,0.021508306318974352,0.028148936800708485,0.2748091603053435,0.005718899574811861,0.08254632574995956,0.12336234783746089
